ID,LOAN_ID,USER_ID,CREATED_AT,AMOUNT_DISBURSED,AMOUNT_FEE,NUM_REPAYMENTS,DAYS_BTWN_REPAYMENTS,LOAN_TERM_DAYS,LOAN_STATUS,DISBURSED_AT,USER_LOAN_RANK,PAID_IN_FULL_AT,CREDIT_SCORE,AMOUNT_REPAID,LOAN_TENURE
96978,6077425,2142,2018-05-29,5000,695,1,28,28,defaulted,29/05/18,10,,0.8743,0,
89528,5761820,5737,2018-05-14,10000,1952,8,7,56,defaulted,14/05/18,15,,0.8896,6000,
74393,5608135,6681,2018-07-05,500,76,4,7,28,defaulted,2018-07-05 00:00:00,1,,0.6185,0,
91159,6103580,7059,2018-05-31,20000,3848,8,7,56,defaulted,31/05/18,13,,0.8697,700,
70731,6546212,10502,2018-06-20,1000,152,4,7,28,defaulted,20/06/18,4,,0.8801,0,
65009,5688306,12316,2018-10-05,3100,432,4,7,28,defaulted,2018-10-05 00:00:00,7,,0.8729,0,
77201,5180191,14780,2018-04-16,1000,153,1,28,28,defaulted,16/04/18,5,,0.8306,0,
81159,5285398,15135,2018-04-22,30000,6212,4,7,28,defaulted,22/04/18,31,,0.8578,690,
37737,5403000,15413,2018-04-27,18000,3802,2,28,56,defaulted,27/04/18,13,,0.8825,0,
79381,6343196,18908,2018-10-06,18000,3802,2,28,56,defaulted,2018-10-06 00:00:00,18,,0.8297,0,
41975,5386130,18918,2018-04-27,500,76,4,7,28,defaulted,27/04/18,1,,0.6446,0,
36733,6008308,19643,2018-05-26,20000,3848,8,7,56,defaulted,26/05/18,25,,0.829,0,
49133,5329821,21931,2018-04-24,1000,152,4,7,28,defaulted,24/04/18,6,,0.8583,0,
79712,6049305,22313,2018-05-28,1000,152,4,7,28,defaulted,28/05/18,1,,0.7534,0,
74298,4854940,24913,2018-02-04,3100,432,4,7,28,defaulted,2018-02-04 00:00:00,6,,0.8448,2666,
75869,4889244,27339,2018-03-04,9000,1656,8,7,56,defaulted,2018-03-04 00:00:00,17,,0.8609,2,
44042,6119246,27733,2018-05-31,15000,2976,2,28,56,defaulted,31/05/18,28,,0.8736,0,
59205,6591234,28534,2018-06-22,30000,5568,24,7,168,defaulted,22/06/18,31,,0.756,0,
51417,6227288,32185,2018-05-06,1000,152,4,7,28,defaulted,2018-05-06 00:00:00,6,,0.8165,0,
95338,5244980,38548,2018-04-20,1000,152,4,7,28,defaulted,20/04/18,2,,0.8576,0,
41307,6187447,39928,2018-03-06,25000,4552,16,7,112,defaulted,2018-03-06 00:00:00,19,,0.843,7297,
98905,6624038,44954,2018-06-23,1000,152,4,7,28,defaulted,23/06/18,2,,0.8053,2,
97854,6506568,48299,2018-06-18,500,76,4,7,28,defaulted,18/06/18,1,,0.6164,0,
36592,5316849,49406,2018-04-23,250,38,4,7,28,defaulted,23/04/18,1,,0.5708,0,
95517,5672026,49951,2018-09-05,5000,664,4,7,28,defaulted,2018-09-05 00:00:00,6,,0.8144,8,
82697,6199323,63868,2018-04-06,1000,153,1,28,28,defaulted,2018-04-06 00:00:00,16,,0.8233,0,
92987,5134431,64921,2018-04-14,500,76,4,7,28,defaulted,14/04/18,1,,0.6652,0,
82816,6275552,65053,2018-07-06,3100,432,4,7,28,defaulted,2018-07-06 00:00:00,13,,0.839,0,
73560,4900859,67303,2018-04-04,15000,2588,2,28,56,defaulted,2018-04-04 00:00:00,29,,0.8152,500,
62257,6694915,72068,2018-06-27,5000,664,4,7,28,defaulted,27/06/18,14,,0.867,0,
45863,5556311,72378,2018-04-05,9000,1656,8,7,56,defaulted,2018-04-05 00:00:00,11,,0.8636,1332,
42333,5667188,73155,2018-09-05,1000,152,4,7,28,defaulted,2018-09-05 00:00:00,6,,0.846,0,
66536,5120301,73180,2018-04-13,250,38,4,7,28,defaulted,13/04/18,1,,0.5017,0,
80038,5406973,74201,2018-04-28,1000,152,4,7,28,defaulted,28/04/18,1,,0.6801,735,
81797,6522404,75537,2018-06-19,500,76,4,7,28,defaulted,19/06/18,1,,0.6608,0,
84496,5546409,82354,2018-04-05,15000,2976,2,28,56,defaulted,2018-04-05 00:00:00,11,,0.8576,1308,
56960,6653546,86254,2018-06-25,10000,1952,8,7,56,defaulted,25/06/18,17,,0.865,422,
71016,6041134,86386,2018-05-28,500,76,4,7,28,defaulted,28/05/18,1,,0.6278,0,
56251,5698546,86595,2018-11-05,7750,2040,2,28,56,defaulted,2018-11-05 00:00:00,14,,0.8537,0,
73008,5431926,87442,2018-04-29,500,76,4,7,28,defaulted,29/04/18,1,,0.6693,0,
69860,5935030,88048,2018-05-22,1000,152,4,7,28,defaulted,22/05/18,16,,0.8416,0,
86468,4875547,92601,2018-02-04,1000,152,4,7,28,defaulted,2018-02-04 00:00:00,8,,0.8512,0,
44418,5234346,93273,2018-04-19,5000,664,4,7,28,defaulted,19/04/18,6,,0.87,0,
34550,5370352,94227,2018-04-26,1000,152,4,7,28,defaulted,26/04/18,6,,0.7874,0,
60646,5647763,95036,2018-08-05,3100,452,1,28,28,defaulted,2018-08-05 00:00:00,6,,0.8592,200,
92325,6376392,96049,2018-12-06,3100,452,1,28,28,defaulted,2018-12-06 00:00:00,7,,0.8123,200,
79438,5960114,108717,2018-05-24,500,76,4,7,28,defaulted,24/05/18,1,,0.6274,0,
94907,6647924,111344,2018-06-25,3100,432,4,7,28,defaulted,25/06/18,13,,0.8853,1550,
53189,5667137,114301,2018-09-05,3100,432,4,7,28,defaulted,2018-09-05 00:00:00,10,,0.8236,352,
50983,5417808,114348,2018-04-28,250,38,4,7,28,defaulted,28/04/18,1,,0.5498,0,
86417,5660269,114798,2018-09-05,3100,452,1,28,28,defaulted,2018-09-05 00:00:00,6,,0.8379,1050,
61598,5314156,114955,2018-04-23,10000,1952,8,7,56,defaulted,23/04/18,17,,0.7774,1494,
32254,5734552,116072,2018-12-05,250,38,4,7,28,defaulted,2018-12-05 00:00:00,2,,0.7606,0,
44070,6701240,116680,2018-06-27,12000,2072,8,7,56,defaulted,27/06/18,14,,0.7622,28,
99659,6569686,121312,2018-06-21,10000,1952,8,7,56,defaulted,21/06/18,12,,0.8548,700,
72293,5106699,121555,2018-04-13,18000,3802,2,28,56,defaulted,13/04/18,25,,0.8747,900,
95443,6641542,125611,2018-06-24,1000,152,4,7,28,defaulted,24/06/18,7,,0.7983,550,
71591,5017322,131208,2018-09-04,25000,4552,16,7,112,defaulted,2018-09-04 00:00:00,22,,0.8739,0,
