USER_ID,USER_LOAN_RANK,CREDIT_SCORE
462,16,0.8504
503,4,0.8606
824,16,0.8539
923,5,0.871
1071,25,0.8081
1085,25,0.7183
1147,2,0.849
1148,8,0.8834
1386,17,0.7437
1520,19,0.857
1633,31,0.8219
2232,4,0.9043
2485,7,0.8584
2758,33,0.8433
2920,1,0.6501
3041,2,0.8565
3056,22,0.8681
3201,21,0.8847
3213,23,0.886
3216,17,0.7102
3359,7,0.8421
3730,23,0.8208
3938,4,0.8724
3972,4,0.8047
4052,3,0.8809
4076,7,0.8528
4120,27,0.8788
4693,19,0.8001
4946,3,0.8024
5219,4,0.8944
5288,10,0.8339
5339,29,0.8325
5413,1,0.7212
5580,8,0.8804
5624,36,0.8922
6022,41,0.6937
6042,9,0.8391
6207,26,0.729
6211,4,0.8836
6521,4,0.848
6701,10,0.8989
7269,6,0.884
7946,3,0.823
8040,3,0.8449
8361,7,0.8617
8954,7,0.8396
9216,1,0.7989
9245,8,0.9037
9249,5,0.8587
9586,13,0.8649
9745,17,0.7167
9817,28,0.8753
9874,14,0.8593
9963,2,0.7959
10205,1,0.6362
10222,11,0.9079
10263,3,0.8254
10333,30,0.7638
10423,7,0.8227
10462,3,0.9541
10477,12,0.8281
10600,2,0.7945
10698,6,0.871
10717,4,0.8685
10811,25,0.8559
10883,10,0.8693
11039,4,0.8434
11403,3,0.8242
11504,12,0.9139
11655,8,0.8439
12195,1,0.8014
12536,1,0.6706
12609,2,0.7679
12708,1,0.7734
12709,2,0.8452
12747,9,0.82
12864,10,0.8657
13109,16,0.8229
13175,12,0.8623
13383,10,0.8663
13436,17,0.8529
13704,3,0.8868
13722,24,0.7937
13727,13,0.8194
13857,3,0.8995
13874,20,0.8774
13882,13,0.8642
13908,6,0.8903
14093,27,0.6952
14898,15,0.8522
15032,9,0.8735
15090,26,0.7906
15169,4,0.8537
15195,12,0.8759
15670,12,0.8309
15817,6,0.9213
16038,6,0.8849
16354,19,0.8695
16363,1,0.6997
16375,10,0.869
16387,1,0.6841
16424,13,0.8477
16531,12,0.8879
16645,4,0.8518
16849,13,0.8483
16930,16,0.8555
17133,10,0.8953
17243,10,0.869
17351,5,0.8743
17368,17,0.8594
17408,1,0.7142
17648,3,0.884
17733,11,0.8639
17744,16,0.8305
